year,remnant,site,quadrat,yrs,yrsq,family,genus,species,species.for.tree,count,mean.log.seed.mass,rem.scale.max.sqrt.height,rem.scale.mean.log.sla,seed_mass,max_height,specific_leaf_area
2011,buntine,1,4,2011.buntine.1,2011.buntine.1.4,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,3,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,1,5,2011.buntine.1,2011.buntine.1.5,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,55,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,1,6,2011.buntine.1,2011.buntine.1.6,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,8,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,1,7,2011.buntine.1,2011.buntine.1.7,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,3,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,1,10,2011.buntine.1,2011.buntine.1.10,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,17,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,1,11,2011.buntine.1,2011.buntine.1.11,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,5,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,1,13,2011.buntine.1,2011.buntine.1.13,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,54,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,1,2011.buntine.2,2011.buntine.2.1,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,1,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,3,2011.buntine.2,2011.buntine.2.3,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,4,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,4,2011.buntine.2,2011.buntine.2.4,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,8,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,5,2011.buntine.2,2011.buntine.2.5,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,5,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,8,2011.buntine.2,2011.buntine.2.8,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,21,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,9,2011.buntine.2,2011.buntine.2.9,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,12,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,10,2011.buntine.2,2011.buntine.2.10,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,4,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,11,2011.buntine.2,2011.buntine.2.11,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,28,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,12,2011.buntine.2,2011.buntine.2.12,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,2,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
2011,buntine,2,13,2011.buntine.2,2011.buntine.2.13,Asteraceae,Actinobole,Actinobole.uliginosum,Actinobole uliginosum,2,-3.054805967,5,3.74687986,0.047131865,25,42.38861703
