Family,taxa,presowtreat,germmedium,germcond,germnotes,refdesc,germination_percent,seeds_sown
ADOXACEAE,Sambucus gaudichaudiana,NA,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 91 days,NA,"RBG Kew, Wakehurst Place.",90,20
AIZOACEAE,Disphyma crassifolium,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,NA,"RBG Kew, Wakehurst Place.",50,20
AIZOACEAE,Disphyma crassifolium,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 63 days,NA,"RBG Kew, Wakehurst Place.",50,20
AIZOACEAE,Disphyma crassifolium,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 56 days,NA,"RBG Kew, Wakehurst Place.",65,20
AIZOACEAE,Disphyma crassifolium,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 63 days,NA,"RBG Kew, Wakehurst Place.",70,20
AIZOACEAE,Disphyma crassifolium,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 63 days,NA,"RBG Kew, Wakehurst Place.",75,20
AIZOACEAE,Disphyma crassifolium,NA,germination medium: 1% agar,germination conditions: light 8/16; 30°C; 84 days,NA,"RBG Kew, Wakehurst Place.",79,19
AIZOACEAE,Gunniopsis calcarea,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",95,19
AIZOACEAE,Gunniopsis papillata,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,20
AIZOACEAE,Gunniopsis papillata,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20
AIZOACEAE,Gunniopsis papillata,NA,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 35 days,NA,"RBG Kew, Wakehurst Place.",55,20
AIZOACEAE,Gunniopsis tenuifolia,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",100,19
AIZOACEAE,Gunniopsis tenuifolia,NA,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 77 days,NA,"RBG Kew, Wakehurst Place.",74,31
AIZOACEAE,Gunniopsis tenuifolia,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",91,23
AIZOACEAE,Gunniopsis zygophylloides,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",80,10
