species,root_type
Daviesia brevifolia,cord_roots
Daviesia debilior,cord_roots
Daviesia decurrens,cord_roots
Daviesia euphorbioides,cord_roots
Daviesia gracilis,cord_roots
Daviesia hakeoides subsp. hakeoides,cord_roots
Daviesia hakeoides subsp. subnuda,cord_roots
Daviesia incrassata,cord_roots
Daviesia inflata,cord_roots
Daviesia mesophylla,cord_roots
Daviesia obtusifolia,cord_roots
Daviesia physodes,cord_roots
Daviesia podophylla,cord_roots
Daviesia preissii,cord_roots
Daviesia quadrilatera,cord_roots
Daviesia triflora,cord_roots
Daviesia alata,unistelar_roots
Daviesia anceps,unistelar_roots
Daviesia arenaria,unistelar_roots
Daviesia cordata,unistelar_roots
Daviesia costata,unistelar_roots
Daviesia croniniana,unistelar_roots
Daviesia divaricata,unistelar_roots
Daviesia epiphyllum,unistelar_roots
Daviesia genistifolia,unistelar_roots
Daviesia grahamii,unistelar_roots
Daviesia horrida,unistelar_roots
Daviesia lancifolia,unistelar_roots
Daviesia latifolia,unistelar_roots
Daviesia leptophylla,unistelar_roots
Daviesia longifolia,unistelar_roots
Daviesia mimosoides,unistelar_roots
Daviesia mollis,unistelar_roots
Daviesia nudiflora,unistelar_roots
Daviesia obovata,unistelar_roots
Daviesia pachyloma,unistelar_roots
Daviesia pectinata,unistelar_roots
Daviesia pedunculata,unistelar_roots
Daviesia rhombifolia,unistelar_roots
Daviesia squarrosa,unistelar_roots
Daviesia teretifolia,unistelar_roots
Daviesia ulcifolia,unistelar_roots
Daviesia wyattiana,unistelar_roots
