var_name,trait_name,unit
GF,plant_growth_form,
Decid/ever,leaf_phenology,
Leaf form,leaf_compoundness,
C3C4,photosynthetic_pathway,
Nfixer,nitrogen_fixing,
leaf lifespan (months),leaf_phenology,
SLA (cm2/g),specific_leaf_area,cm2/g
Leaf size (cm2),leaf_area,cm2
Nmass (%),leaf_N_per_dry_mass,%
Narea (g/m2),leaf_N_per_area,g/m2
Amass (nmol/g/s),photosynthetic_rate_per_dry_mass,nmolCO2/g/s
Aarea (micromol/m2/s),photosynthetic_rate_per_area,umolCO2/m2/s
Rdmass,leaf_dark_respiration_per_dry_mass,mmolCO2/g/s
Rdarea,leaf_dark_respiration_per_area,mmolCO2/m2/s
