Species,number,% burnt stems resprouting,fire_response,regen_strategy,site_name
Sprengelia incarnata,1269,0,fire_killed,fire_killed,Port Davey region
Melaleuca squamea,652,0,fire_killed,fire_killed,Port Davey region
Leptospermum nitidum,537,68.3,resprouts,basal,Port Davey region
Boronia species,166,80.7,resprouts,basal,Port Davey region
Baekia leptocaulis,72,73.6,resprouts,basal,Port Davey region
Hakea epiglottis,32,18.8,resprouts,basal,Port Davey region
Epacris species,31,77.4,resprouts,basal,Port Davey region
Melaleuca squarrosa,14,50,resprouts,basal epicormic,Port Davey region
Allocasuarina zephyrea,10,60,resprouts,basal,Port Davey region
Banksia marginata,,,resprouts,basal,Port Davey region
Dillwynia glaberrima,,,resprouts,basal,Port Davey region
Agastachys odorata,,,resprouts,basal,Port Davey region
