taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,flower_lifespan,"pendulous and open for at least 3 days, and usually longer, and stay open overnight",,3,minimum,d,,,,,"Methods, Study species and area, p.250",
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,flower_nectar_production,The flowers do not produce nectar,nectar_absent,nectar_absent,mode,,,,,,"Methods, Study species and area, p.250",
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,flower_anther_dehiscence,pollen is held within tubular poricidal anthers that form a ring surrounding the flower style,poricidal,poricidal,mode,,,,,,"Methods, Study species and area, p.250","Methods states floral morphology and bee behaviour at flowers are similar for all four taxa (p.250), so this is likely to apply to T. aphylla, T. paynterae subsp. cremnobata and T. harperi as well, though only explicitly described for T. paynterae subsp. paynterae Poricidal anther dehiscence is the mechanism underlying the buzz-pollination trait proposed separately (see the 'buzz_pollination' candidate-trait rows)."
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,flower_pollinator_reward,pollen is held within tubular poricidal anthers ... Bees alight on the flowers and grasp the anthers with their thorax while they vibrate them,pollen,pollen,mode,,,,,,"Methods, Study species and area, p.250",Flowers do not produce nectar; pollen is the only reward
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,flower_ovules_per_functional_carpel_count,2,,2,raw,{count},,,,,"Results, Pollination 2010-11, p.252",Stated as: pollen tube numbers 'completely sufficient to fertilise the two ovules in each flower'
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,pollination_vector_known,The Tetratheca species are buzz pollinated,bee,bee,mode,,,,,,"Abstract, p.248; Introduction, p.249; Table 2, p.251","AusTraits vocabulary has no dedicated 'buzz' pollination term; mapped to the generic 'bee' vector under pollination_vector_known (not pollination_syndrome) because the evidence is direct field observation, not floral-morphology inference: bees were seen visiting flowers and sonicating/vibrating the anthers, and captured bees (Table 2) carried predominantly Tetratheca pollen. Bees identified carrying predominantly Tetratheca pollen were species of Lasioglossum (subgenus Chilalictus), plus one Megachile hackeriapis (Table 2, T. paynterae subsp. paynterae only)"
Tetratheca paynterae subsp. cremnobata,species,,Diehardy Range,pollination_vector_known,The Tetratheca species are buzz pollinated,bee,bee,mode,,,,,,"Abstract, p.248; Introduction, p.249","AusTraits vocabulary has no dedicated 'buzz' pollination term; mapped to the generic 'bee' vector under pollination_vector_known (not pollination_syndrome). The direct observation/pollen-load evidence (Table 2, p.251) is specifically for T. paynterae subsp. paynterae only; for this taxon the 'buzz pollinated' claim rests on the Abstract/Introduction's general statement plus the Methods (p.250) generalisation that floral morphology and bee behaviour at flowers are similar for the four taxa, not on taxon-specific field data."
Tetratheca aphylla,species,,Helena and Aurora Ranges,pollination_vector_known,The Tetratheca species are buzz pollinated,bee,bee,mode,,,,,,"Abstract, p.248; Introduction, p.249","AusTraits vocabulary has no dedicated 'buzz' pollination term; mapped to the generic 'bee' vector under pollination_vector_known (not pollination_syndrome). The direct observation/pollen-load evidence (Table 2, p.251) is specifically for T. paynterae subsp. paynterae only; for this taxon the 'buzz pollinated' claim rests on the Abstract/Introduction's general statement plus the Methods (p.250) generalisation that floral morphology and bee behaviour at flowers are similar for the four taxa, not on taxon-specific field data."
Tetratheca harperi,species,,Jackson Range,pollination_vector_known,The Tetratheca species are buzz pollinated,bee,bee,mode,,,,,,"Abstract, p.248; Introduction, p.249","AusTraits vocabulary has no dedicated 'buzz' pollination term; mapped to the generic 'bee' vector under pollination_vector_known (not pollination_syndrome). The direct observation/pollen-load evidence (Table 2, p.251) is specifically for T. paynterae subsp. paynterae only; for this taxon the 'buzz pollinated' claim rests on the Abstract/Introduction's general statement plus the Methods (p.250) generalisation that floral morphology and bee behaviour at flowers are similar for the four taxa, not on taxon-specific field data."
Tetratheca paynterae subsp. paynterae,species,Lasioglossum castor,Windarling Range,flower_visitor,Lasioglossum castor (5 individuals examined); only Tetratheca pollen carried,bee,bee,mode,,,,5,,"Table 2, p.251",
Tetratheca paynterae subsp. paynterae,species,Lasioglossum castor,Windarling Range,flower_visitor,"Lasioglossum castor (1 individual examined); Tetratheca pollen, minor Tubuliflorae, Ptilotus",bee,bee,mode,,,,1,,"Table 2, p.251",
Tetratheca paynterae subsp. paynterae,species,Lasioglossum chapmani,Windarling Range,flower_visitor,"Lasioglossum chapmani (1 individual examined); mostly Tetratheca pollen, <1% Ptilotus",bee,bee,mode,,,,1,,"Table 2, p.251",
Tetratheca paynterae subsp. paynterae,species,Lasioglossum ebeneum,Windarling Range,flower_visitor,Lasioglossum ebeneum (1 individual examined); only Tetratheca pollen,bee,bee,mode,,,,1,,"Table 2, p.251",
Tetratheca paynterae subsp. paynterae,species,Lasioglossum erythrurum group,Windarling Range,flower_visitor,Lasioglossum erythrurum group (1 individual examined); only Tetratheca pollen,bee,bee,mode,,,,1,,"Table 2, p.251",
Tetratheca paynterae subsp. paynterae,species,Megachile hackeriapis,Windarling Range,flower_visitor,Megachile hackeriapis (1 individual examined); no pollen present,bee,bee,mode,,,,1,,"Table 2, p.251",
Tetratheca paynterae subsp. paynterae,species,Bombyliidae,Windarling Range,flower_visitor,Bombyliidae (5 individuals examined); no pollen present,fly,fly,mode,,,,5,,"Table 2, p.251","Hoverflies and a species of small fly (Bombyliidae) occasionally landed on the outside of flowers, and very rarely moved under the petals (Results, p.251); it was not possible to see what they did under the petals"
Tetratheca paynterae subsp. cremnobata,species,,Diehardy Range,flower_anther_dehiscence,pollen is held within tubular poricidal anthers that form a ring surrounding the flower style,poricidal,poricidal,mode,,,,,,"Methods, Study species and area, p.250",Not individually described for this taxon; generalised from the T. paynterae subsp. paynterae description on the strength of the Methods statement that 'floral morphology and bee behaviour at flowers are similar for the four taxa' (p.250). Poricidal anther dehiscence is also the mechanism underlying the buzz-pollination trait proposed separately (see the 'buzz_pollination' candidate-trait rows) — the two are closely related aspects of the same pollen-release mechanism.
Tetratheca aphylla,species,,Helena and Aurora Ranges,flower_anther_dehiscence,pollen is held within tubular poricidal anthers that form a ring surrounding the flower style,poricidal,poricidal,mode,,,,,,"Methods, Study species and area, p.250",Not individually described for this taxon; generalised from the T. paynterae subsp. paynterae description on the strength of the Methods statement that 'floral morphology and bee behaviour at flowers are similar for the four taxa' (p.250). Poricidal anther dehiscence is also the mechanism underlying the buzz-pollination trait proposed separately (see the 'buzz_pollination' candidate-trait rows) — the two are closely related aspects of the same pollen-release mechanism.
Tetratheca harperi,species,,Jackson Range,flower_anther_dehiscence,pollen is held within tubular poricidal anthers that form a ring surrounding the flower style,poricidal,poricidal,mode,,,,,,"Methods, Study species and area, p.250",Not individually described for this taxon; generalised from the T. paynterae subsp. paynterae description on the strength of the Methods statement that 'floral morphology and bee behaviour at flowers are similar for the four taxa' (p.250). Poricidal anther dehiscence is also the mechanism underlying the buzz-pollination trait proposed separately (see the 'buzz_pollination' candidate-trait rows) — the two are closely related aspects of the same pollen-release mechanism.
