source,taxon_name,trait_name,category,trait_value,flora_value,units,value_type
Florabase_long,Citrullus lanatus,fruit_colour,,green white,green white,,mode
Florabase_long,Solanum nigrum,fruit_colour,,green,green,,mode
Florabase_long,Alexgeorgea nitens,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Alexgeorgea subterranea,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Alternanthera pungens,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Apodasmia ceramophila,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Carpobrotus edulis,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Catacolea enodis,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Chaetanthus aristatus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Chaetanthus leptocarpoides,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Chaetanthus tenellus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus asper,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus austrinus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus biformis,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus castaneus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus elongatus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus fasciculatus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus flexuosus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus glomeratus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus lateriticus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus myriocladus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus parthenicus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus quiricanus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus semiplanus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Desmocladus virgatus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Empodisma gracillimum,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Euphorbia terracina,fruit_dehiscence,,dehiscent,opening,,mode
Florabase_long,Hypolaena caespitosa,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Hypolaena exsulca,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Hypolaena fastigiata,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Hypolaena grandiuscula,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Hypolaena humilis,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Hypolaena pubescens,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Hypolaena robusta,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Hypolaena viridis,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Kulinia eludens,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Lepidobolus chaetocephalus,fruit_dehiscence,,indehiscent,indehiscent,,mode
Florabase_long,Lepidobolus densus,fruit_dehiscence,,indehiscent,indehiscent,,mode
