Species,Fire response,SLA (cm2 g?1),height (m),Bark thickness (mm),Stem density (g cm?3),Bark mass area (g cm?2)
Acacia maidenii,Fire-killed,89.58,20,0.48,0.46,0.041
Acacia nova-anglica,Resprouts,50.67,6,0.84,0.72,0.076
Acacia obtusifolia,Resprouts,79.84,4,0.56,0.67,0.048
Acacia obtusifolia,Resprouts,49.35,4,0.66,0.73,0.061
Acacia suaveolens,Fire-killed,37.75,2.5,0.36,0.7,0.038
Acacia ulicifolia,Resprouts,21.85,2,0.34,0.66,0.036
Acmena smithii,Resprouts,69.91,25,0.31,0.52,0.026
Acronychia pubescens,Resprouts,84.03,15,0.39,0.46,0.032
Banksia spinulosa,Resprouts,54.26,3,1.22,0.61,0.062
Boronia algida,Resprouts,61.29,1.5,0.26,0.72,0.2
Boronia anethifolia,Fire-killed,41.35,1,0.35,0.99,0.027
Boronia microphylla,Resprouts,53.51,1,0.15,0.7,0.012
Calytrix tetragona,Fire-killed,6.04,2,0.25,0.92,0.018
Conospermum burgessiorum,Fire-killed,67.05,3.5,0.38,0.51,0.028
Correa lawrenceana,Fire-killed,118.18,6,0.22,0.57,0.019
Cryptocarya meissneriana,Resprouts,84.38,10,0.47,0.68,0.037
Cryptocarya rigida,Resprouts,117.1,10,0.46,0.59,0.033
Hakea eriantha,Resprouts,78.75,6,0.62,0.66,0.048
Leptospermum arachnoides,Resprouts,38.79,2,0.58,0.74,0.035
Leptospermum petersonii,Fire-killed,95.25,5,0.62,0.74,0.03
Leptospermum trinervium,Resprouts,71.52,5,1.55,0.72,0.091
Lomatia silaifolia,Resprouts,57.07,2,0.38,0.69,0.022
Persoonia rufa,Fire-killed,88.38,2.5,0.39,0.61,0.032
Petrophile canescens,Resprouts,22.52,1.2,0.89,0.62,0.048
Phebalium sp. nov,Fire-killed,51.57,3.5,0.29,0.72,0.028
Rhodamnia rubescens,Resprouts,109.93,25,0.33,0.57,0.024
Zieria sp. aff.smithii,Fire-killed,166.12,2.5,0.19,0.65,0.018
