site,taxon,leaf area cm2,LMA (mg cm2),standard error LMA (mg cm2),,,,,,,,
BunyipSP_64,Hedycarya angustifolia,21.47,7,0,,,,,,,,
BunyipSP_64,Acacia myrtifolia,0.2,28,3,,,,,,,,
BunyipSP_64,Acacia genistifolia,1.65,18,1,,,,,,,,
BunyipSP_64,Pultenea muelleri,0.22,8,0,,,,,,,,
BunyipSP_64,Pultenea weindorferi,0.09,10,0,,,,,,,,
BunyipSP_64,Boronia muelleri,2.93,7,2,,,,,,,,
BunyipSP_64,Correa reflexa,9.66,9,0,,,,,,,,
BunyipSP_64,Phebalium bilobum,1.32,9,0,,,,,,,,
BunyipSP_64,Zieria arborescens,35.4,6,1,,,,,,,,
BunyipSP_64,Pomaderris aspera,34.83,8,1,,,,,,,,
BunyipSP_64,Spyridium parvifolium,1.7,10,1,,,,,,,,
BunyipSP_64,Banksia marginata,2,26,1,,,,,,,,
BunyipSP_64,Banksia spinulosa,3.07,14,1,,,,,,,,
BunyipSP_64,Grevillea barklyana,41.21,15,1,,,,,,,,
BunyipSP_64,Hakea sericea,0.37,48,3,,,,,,,,
BunyipSP_64,Hakea ulicina,1.18,27,1,,,,,,,,
BunyipSP_64,Lomatia fraseri,31.69,14,1,,,,,,,,
BunyipSP_64,Prostanthera lasianthos,14.06,8,1,,,,,,,,
