site,Latitude,longitude
Cunningham_Agnes Banks_15m_111,-33.617,150.715
Cunningham_Braidwood_600m_111,-35.533,149.933
Cunningham_Castlereagh_15m_111,-33.683,150.745
Cunningham_Copper Range_300m_111,-30.852,142.585
Cunningham_Hillston_125m_111,-33.525,145.571
Cunningham_Knights Hill_665m_111,-34.633,150.7
Cunningham_KNP-Barrenjoey_33m_111,-33.588,151.325
Cunningham_KNP-Bobbin Head_115m_111,-33.685,151.182
Cunningham_KNP-Waratah_165m_111,-33.641,151.25
Cunningham_KNP-West Head_152m_111,-33.585,151.299
Cunningham_Londonderry_15m_111,-33.663,150.733
Cunningham_Mitchell Park_45m_111,-33.571,150.929
Cunningham_Narooma_25m_111,-36.239,150.119
Cunningham_Nombinnie_160m_111,-33.044,146.009
Cunningham_Nuntherungie_190m_111,-30.801,142.477
Cunningham_Patonga_5m_111,-33.546,151.269
Cunningham_Rankins-Springs_170m_111,-33.936,146.115
Cunningham_RNP-Audley_5m_111,-34.072,151.057
Cunningham_RNP-Bola Creek_50m_111,-34.149,151.03
Cunningham_RNP-Fosters Flat_50m_111,-34.152,151.021
Cunningham_White Cliffs_80m_111,-31.085,143.091
,,
