Veg,Species,Prefire ht,Dbh @ 0.5 m (mm),DBH @ 1.3 m (cm),BT1,BT2,BT3,BTMean,Notes,diameter
Forest,Acacia auriculiformis,15,,33.3,12,11,11.5,11.5,,33.3
Forest,Acacia auriculiformis,15,,21.2,21.2,11,9.5,13.9,,21.2
Forest,Acacia auriculiformis,17,,40.7,8,13,11,10.66666667,,40.7
Forest,Acacia auriculiformis,17,,34,9.5,9,10.5,9.666666667,,34
Forest,Acacia auriculiformis,15,,36.1,18,17,13,16,,36.1
Forest,Acacia auriculiformis,12,,38.8,9.5,12,8.5,10,,38.8
Forest,Acacia auriculiformis,11,,17.7,7,10,7.5,8.166666667,,17.7
Forest,Acacia auriculiformis,17,,35.7,15,13.5,14.5,14.33333333,,35.7
Forest,Acacia auriculiformis,15,,26.5,14,12,13,13,,26.5
Forest,Acacia auriculiformis,13.5,,35.3,12.5,8.5,11,10.66666667,,35.3
Forest,Acacia auriculiformis,14,,34.9,10.5,12.5,10.5,11.16666667,,34.9
Forest,Acacia auriculiformis,11,,24.4,11,11,10.5,10.83333333,,24.4
Forest,Acacia auriculiformis,16,,40.1,9,11,14.5,11.5,,40.1
Forest,Acacia auriculiformis,16,,36.6,21,21,24,22,,36.6
Forest,Acacia auriculiformis,11,,13.5,7.5,11,7.5,8.666666667,,13.5
Forest,Alstonia actinophylla,13,,21.4,18,19,16,17.66666667,,21.4
Forest,Alstonia actinophylla,5.5,,7.5,6,7.5,5.5,6.333333333,,7.5
Forest,Alstonia actinophylla,4.8,,9.6,12,9.5,11.5,11,,9.6
Forest,Alstonia actinophylla,7,,7.3,9.5,11.5,12,11,,7.3
Forest,Alstonia actinophylla,9,,20.9,15,14,17,15.33333333,,20.9
Forest,Alstonia actinophylla,15,,67.9,24.5,24.5,18,22.33333333,,67.9
Forest,Alstonia actinophylla,13,,24.6,14,16,19,16.33333333,,24.6
Forest,Alstonia actinophylla,9,,17,10,15,13,12.66666667,,17
Forest,Alstonia actinophylla,14,,36,22,30,28,26.66666667,,36
Forest,Alstonia actinophylla,10,,16,12.5,11.5,11,11.66666667,copius white sap,16
Forest,Alstonia actinophylla,5.2,,9,13.5,14,17,14.83333333,,9
Forest,Alstonia actinophylla,1.3,36.1,,8,9,9,8.666666667,,3.61
Forest,Alstonia actinophylla,2.8,,8.1,12.5,11,11,11.5,,8.1
Forest,Alstonia actinophylla,4.1,,6.3,11,12.5,12.5,12,,6.3
Forest,Alstonia actinophylla,7.5,,16.9,17,16,18.5,17.16666667,,16.9
Forest,Alstonia actinophylla,1.2,12,,5,5,5,5,,1.2
Forest,Alstonia actinophylla,14,,42.5,26,24,27.5,25.83333333,,42.5
Forest,Antiaris toxicaria,2.2,29,,1.5,1.5,1.5,1.5,,2.9
Forest,Antiaris toxicaria,7.5,,4.7,1.5,2,1.5,1.666666667,,4.7
Forest,Antiaris toxicaria,2.9,,2.7,1.5,1.5,1.5,1.5,,2.7
Forest,Antiaris toxicaria,7,,4.6,1.5,1.5,1.5,1.5,,4.6
Forest,Antiaris toxicaria,3.5,,2.8,1,1,1.5,1.166666667,,2.8
Forest,Antiaris toxicaria,16,,12.3,3,2.5,2.5,2.666666667,,12.3
Forest,Antiaris toxicaria,7.5,,5.4,2,2,2,2,,5.4
Forest,Antiaris toxicaria,6.5,,6.3,2,2,2,2,,6.3
Forest,Antiaris toxicaria,3.9,,2.7,1.5,1.5,1.5,1.5,,2.7
Forest,Antiaris toxicaria,4.5,,1.9,2,2,1.5,1.833333333,,1.9
Forest,Antiaris toxicaria,8.5,,7.2,3,3.5,3,3.166666667,,7.2
Forest,Antiaris toxicaria,6.5,,5.2,1.5,2,2,1.833333333,,5.2
Forest,Antiaris toxicaria,8.5,,9.3,2.5,2.5,2.5,2.5,,9.3
Forest,Antiaris toxicaria,6.5,,7.8,2,2,2,2,,7.8
Forest,Antiaris toxicaria,6,,3.8,3,2.5,2,2.5,,3.8
Forest,Antiaris toxicaria,7.5,,5,2.5,2,2,2.166666667,,5
Forest,Buchanania arborescens,14,,16.3,8,10,10,9.333333333,,16.3
Forest,Buchanania arborescens,6,,4.5,4,5.5,5,4.833333333,,4.5
Forest,Cupaniopsis anacordioides,2.7,21.6,,2.5,1.5,2.5,2.166666667,,2.16
Forest,Cupaniopsis anacordioides,2.9,24.3,,2,1.5,1.5,1.666666667,,2.43
Forest,Cupaniopsis anacordioides,5.5,,4,2.5,2.5,2.5,2.5,,4
Forest,Cupaniopsis anacordioides,7.5,,5.8,4.5,4.5,3.5,4.166666667,,5.8
Forest,Cupaniopsis anacordioides,6,,5.9,7.5,5.5,6,6.333333333,,5.9
Forest,Cupaniopsis anacordioides,7.5,,5.1,4.5,4.5,5,4.666666667,,5.1
Forest,Cupaniopsis anacordioides,5.5,,6.1,6.5,6,5.5,6,,6.1
Forest,Cupaniopsis anacordioides,1.6,10.1,,1.5,1.5,1,1.333333333,,1.01
Forest,Cupaniopsis anacordioides,6.8,,5,3,3,3,3,,5
Forest,Cupaniopsis anacordioides,6.8,,4,2.5,3,2.5,2.666666667,,4
Forest,Cupaniopsis anacordioides,13,,13.6,4,3.5,3.5,3.666666667,,13.6
Forest,Cupaniopsis anacordioides,3.8,,2.5,2.5,2,2.5,2.333333333,,2.5
Forest,Cupaniopsis anacordioides,3.8,21.3,,2.5,2,3,2.5,,2.13
Forest,Cupaniopsis anacordioides,2.7,18.6,,2,2,2,2,,1.86
Forest,Cupaniopsis anacordioides,14,,16,8,8,8,8,,16
Forest,Diospyros calycantha,9,,5.7,2,3.5,3,2.833333333,,5.7
Forest,Diospyros calycantha,5.5,,4.3,2.5,2.5,2.5,2.5,,4.3
Forest,Diospyros calycantha,2.2,20.6,,2,2,2,2,,2.06
Forest,Diospyros calycantha,6.5,,4.8,1.5,2,2.5,2,,4.8
Forest,Diospyros calycantha,6,,5.7,2.5,3.5,4,3.333333333,,5.7
Forest,Diospyros calycantha,7.5,,6.4,3.5,3.5,3,3.333333333,,6.4
Forest,Diospyros calycantha,2.2,19.3,,1.5,1.5,2,1.666666667,,1.93
Forest,Diospyros calycantha,6.5,,5.4,2.5,2.5,3,2.666666667,,5.4
Forest,Diospyros calycantha,6.5,,4.5,2,2,2.5,2.166666667,,4.5
Forest,Diospyros calycantha,5.5,,3,2,2,2,2,,3
Forest,Diospyros calycantha,8,,5.9,3,3,3,3,,5.9
Forest,Diospyros calycantha,7.8,,5.8,3,2.5,3,2.833333333,,5.8
Forest,Diospyros calycantha,6.5,,16.5,4.5,5,4,4.5,,16.5
Forest,Diospyros calycantha,7,,7.5,3.5,4,3,3.5,,7.5
Forest,Diospyros calycantha,5.5,,3.3,2,2.5,2.5,2.333333333,,3.3
Forest,Diospyros calycantha,4.5,,3.3,2.5,2.5,3,2.666666667,,3.3
Forest,Drypetes deplonchei,2.4,18.4,,1.5,1.5,1.5,1.5,,1.84
Forest,Drypetes deplonchei,1.5,9.2,,1.1,1.5,,1.3,,0.92
Forest,Drypetes deplonchei,16,,23.8,4,5,4,4.333333333,,23.8
Forest,Drypetes deplonchei,14,,11.4,3,3,2.5,2.833333333,,11.4
Forest,Drypetes deplonchei,2.7,,1.7,1.5,1,1,1.166666667,,1.7
Forest,Drypetes deplonchei,7.5,,3.3,2.5,2,2,2.166666667,,3.3
Forest,Drypetes deplonchei,10.5,,6.2,4,4.5,4,4.166666667,,6.2
Forest,Drypetes deplonchei,3.2,,1.6,1.5,1.5,1.5,1.5,,1.6
Forest,Drypetes deplonchei,2.6,,2.7,2,2.5,2,2.166666667,,2.7
Forest,Drypetes deplonchei,1.3,6.5,,1,,,1,,0.65
Forest,Drypetes deplonchei,2.1,11.3,,1,,,1,,1.13
Forest,Drypetes deplonchei,2,12.1,,1.5,,,1.5,,1.21
Forest,Drypetes deplonchei,6,,6.5,3,3,2.5,2.833333333,,6.5
Forest,Drypetes deplonchei,7.5,,6.9,3.5,3,3,3.166666667,,6.9
Forest,Drypetes deplonchei,2.2,13.7,,1,1.5,1.5,1.333333333,,1.37
Forest,Erythrophleum chlorostachys,16,,16,16,14,16,15.33333333,,16
Forest,Erythrophleum chlorostachys,15,,39,14,12.5,12.5,13,,39
Forest,Exocorpus latifolius,6.5,,9.8,6.5,7.5,8,7.333333333,,9.8
Forest,Exocorpus latifolius,3.2,,2.4,3.5,3,3,3.166666667,,2.4
Forest,Exocorpus latifolius,2.8,,2.2,2.5,2.5,3,2.666666667,,2.2
Forest,Exocorpus latifolius,1.3,10.9,,2,1.5,2,1.833333333,,1.09
Forest,Exocorpus latifolius,2.2,,2.6,3.5,3,3,3.166666667,,2.6
Forest,Exocorpus latifolius,2.6,14.2,,3,2,2,2.333333333,,1.42
Forest,Exocorpus latifolius,9,,8.9,9,7.5,8,8.166666667,,8.9
Forest,Exocorpus latifolius,2.2,29.4,,3,3,3,3,,2.94
Forest,Exocorpus latifolius,7,,16.6,8,6.5,9,7.833333333,,16.6
Forest,Exocorpus latifolius,5,,12.1,3.5,3.5,3.5,3.5,,12.1
Forest,Exocorpus latifolius,4.5,,3.7,3,3.5,3,3.166666667,,3.7
Forest,Exocorpus latifolius,4.5,,5,6,5,5,5.333333333,,5
Forest,Exocorpus latifolius,7.5,,7,7.5,6.5,7.5,7.166666667,,7
Forest,Exocorpus latifolius,4,,4,4,4,4,4,,4
Forest,Exocorpus latifolius,8,,5.3,4,4,4,4,,5.3
Forest,Ilex arnhemensis,2.3,11.6,,1.5,1.5,1.5,1.5,,1.16
Forest,Ilex arnhemensis,3.1,,2.9,3,3,3,3,,2.9
Forest,Ilex arnhemensis,7,,4.7,3,3,4,3.333333333,,4.7
Forest,Ilex arnhemensis,8.5,,7.3,5,5,5,5,,7.3
Forest,Ilex arnhemensis,9.5,,7.8,6,6,7,6.333333333,,7.8
Forest,Ilex arnhemensis,8.5,,7.4,5,5,6,5.333333333,,7.4
Forest,Ilex arnhemensis,13,,8.2,6,6.5,5,5.833333333,,8.2
Forest,Ilex arnhemensis,12,,7,5,5,5,5,,7
Forest,Ilex arnhemensis,10,,6,4.5,3.5,4,4,,6
Forest,Ilex arnhemensis,12,,9.8,5.5,6,5,5.5,,9.8
Forest,Ilex arnhemensis,9.5,,5.9,4,4,4,4,,5.9
Forest,Ilex arnhemensis,5.5,,35,3.5,3,3.5,3.333333333,,35
Forest,Ilex arnhemensis,7.5,,5.5,5,4,4,4.333333333,,5.5
Forest,Ilex arnhemensis,10,,7.6,5,6,6,5.666666667,,7.6
Forest,Ilex arnhemensis,14,,10.5,7,7,7,7,,10.5
Forest,Ilex arnhemensis,2.1,11.9,,2,2,2,2,,1.19
Forest,Ilex arnhemensis,2.8,22.1,,2,2,2,2,,2.21
Forest,Ilex arnhemensis,10,,11.8,8,9,11.5,9.5,,11.8
Forest,Ilex arnhemensis,,,10.2,4,4,4,4,,10.2
Forest,Mallotus phillipensis,8.5,,7.2,2,3,2.5,2.5,,7.2
Forest,Mallotus phillipensis,13,,8.8,3.5,3.5,3.5,3.5,,8.8
Forest,Mallotus phillipensis,8.5,,8.8,2.5,3.5,2.5,2.833333333,,8.8
Forest,Mallotus phillipensis,5.5,,4,2.5,2.5,2.5,2.5,,4
Forest,Mallotus phillipensis,17,,9.9,3,3,3,3,,9.9
Forest,Mallotus phillipensis,7.2,,3.3,2.5,2,2,2.166666667,,3.3
Forest,Mallotus phillipensis,11,,12.3,7,6.5,5,6.166666667,,12.3
Forest,Mallotus phillipensis,11,,13.8,3.5,4,3.5,3.666666667,,13.8
Forest,Mallotus phillipensis,13,,12.9,6,6.5,6,6.166666667,,12.9
Forest,Mallotus phillipensis,9,,6.3,2.5,2.5,2,2.333333333,,6.3
Forest,Miliusa brahei,16,,15,6,7,7,6.666666667,,15
Forest,Miliusa brahei,14,,10.1,6.5,5,5,5.5,,10.1
Forest,Miliusa brahei,6.5,,3.5,1.5,1,1,1.166666667,,3.5
Forest,Miliusa brahei,4.5,,2.1,1.5,1,1.5,1.333333333,,2.1
Forest,Miliusa brahei,14,,9.6,2.5,3.5,3.5,3.166666667,,9.6
Forest,Miliusa brahei,10,,5.4,2.5,2.5,2.5,2.5,,5.4
Forest,Miliusa brahei,15,,22.6,5,4.5,4,4.5,,22.6
Forest,Miliusa brahei,9,,5.8,3,2,2.5,2.5,,5.8
Forest,Miliusa brahei,5.5,,3.4,1.5,1.5,1.5,1.5,,3.4
Forest,Miliusa brahei,7,,40,3,3,3,3,,40
Forest,Miliusa brahei,10,,7.6,2,2,3.5,2.5,,7.6
Forest,Miliusa brahei,3.6,,2.4,2,2,1.5,1.833333333,,2.4
Forest,Miliusa brahei,15,,17.5,8.5,7,8.5,8,,17.5
Forest,Miliusa brahei,5.9,,5,2.5,2.5,2.5,2.5,,5
Forest,Miliusa brahei,7,,5,2.5.,2.5,3,2.75,,5
Forest,Miliusa brahei,7,,3.7,2.5,2,2.5,2.333333333,,3.7
Forest,Peltophorum pterocarpum,16,,16.6,6,6,6,6,,16.6
Forest,Peltophorum pterocarpum,17,,50,14,17,16,15.66666667,,50
Forest,Peltophorum pterocarpum,16,,40.9,16,15,15,15.33333333,,40.9
Forest,Peltophorum pterocarpum,16,,28.3,14,12,11,12.33333333,,28.3
Forest,Peltophorum pterocarpum,9,,20.8,8,8,8,8,,20.8
Forest,Peltophorum pterocarpum,14,,27.3,12,11,10.5,11.16666667,,27.3
Forest,Peltophorum pterocarpum,15,,25.4,8,9.5,8.5,8.666666667,,25.4
Forest,Peltophorum pterocarpum,11,,11.5,5,5.5,5.5,5.333333333,,11.5
Forest,Peltophorum pterocarpum,8,,10.3,6,6,7.5,6.5,,10.3
Forest,Peltophorum pterocarpum,7.5,,12.3,6.5,9,6.5,7.333333333,,12.3
Forest,Peltophorum pterocarpum,11,,19.2,9,11,8.5,9.5,,19.2
Forest,Peltophorum pterocarpum,9,,9.8,4.5,7,4,5.166666667,,9.8
Forest,Polyalthia australis,8,,6,5,5,5,5,,6
Forest,Polyalthia australis,2.4,15.8,,1..5,1,1,1,,1.58
Forest,Polyalthia australis,5,,4,2,2,2,2,,4
Forest,Polyalthia australis,9,,5.1,2,2,2,2,,5.1
Forest,Polyalthia australis,10.5,,3.9,2,2,2,2,,3.9
Forest,Polyalthia australis,2,15.6,,1,1.5,1.5,1.333333333,,1.56
Forest,Polyalthia australis,2.8,,2.4,1.5,1.5,1.5,1.5,,2.4
Forest,Polyalthia australis,12,,10.4,3.5,2.5,2.5,2.833333333,,10.4
Forest,Polyalthia australis,3,,1.7,1,1,1.5,1.166666667,,1.7
Forest,Polyalthia australis,6.5,,3.5,2.5,2,2.5,2.333333333,,3.5
Forest,Polyalthia australis,12,,11,5.5,5.5,5.5,5.5,,11
Forest,Polyalthia australis,13,,10.9,3.5,3.5,3.5,3.5,,10.9
Forest,Polyalthia australis,2,16.6,,1.5,1.5,1.5,1.5,,1.66
Forest,Polyalthia australis,6.5,,3.7,3,3,3,3,,3.7
Forest,Pongamia pinncta,11,,8,4,4,3.5,3.833333333,,8
Forest,Pongamia pinncta,2.7,16,,1,1,1,1,,1.6
Forest,Pongamia pinncta,,,14.9,5,6,5,5.333333333,,14.9
Forest,Pongamia pinncta,8.5,,11.3,5,6,5,5.333333333,,11.3
Forest,Pongamia pinncta,5.5,,7.5,7,5.5,5,5.833333333,,7.5
Forest,Pongamia pinncta,7,,12.2,4,4,4,4,,12.2
Forest,Pongamia pinncta,13,,17.4,5.5,5.5,4,5,,17.4
Forest,Pongamia pinncta,9,,8.3,4,3,3.5,3.5,,8.3
Forest,Pongamia pinncta,12,,9.4,5,4,4.5,4.5,,9.4
Forest,Pongamia pinncta,4,,5,3,3.5,3,3.166666667,,5
Forest,Pongamia pinncta,5,,6.7,2.5,3,3.5,3,,6.7
Forest,Pongamia pinncta,3,,2.5,2,2,2,2,,2.5
Forest,Pongamia pinncta,4,,2.1,2,2.5,2,2.166666667,,2.1
Forest,Pongamia pinncta,11,,8,3,3,3,3,,8
Forest,Pongamia pinncta,3.5,,12.3,3.5,3,3,3.166666667,,12.3
Forest,Pongamia pinncta,8,,7.5,3,3.5,3.5,3.333333333,,7.5
Forest,Pouteria sericea,8.5,,11.9,9,9,8,8.666666667,,11.9
Forest,Pouteria sericea,5.5,,8,5,5,5,5,,8
Forest,Pouteria sericea,11,,12.7,5,6,6.5,5.833333333,,12.7
Forest,Pouteria sericea,8.5,,7.3,6,5,6,5.666666667,,7.3
Forest,Pouteria sericea,7.5,,9.6,5.5,7,5.5,6,,9.6
Forest,Pouteria sericea,6.5,,5.7,4.5,4,4.5,4.333333333,,5.7
Forest,Sp 14,9,,7.5,2,3,2.5,2.5,,7.5
Forest,Sp 14,17,,10.1,7,7.5,7.5,7.333333333,,10.1
Forest,Sp 14,7.5,,7.7,3.5,3.5,3.5,3.5,,7.7
Forest,Sp 14,18,,21.6,5,7,9.5,7.166666667,,21.6
Forest,Sp 14,14,,10.2,3,2.5,2.5,2.666666667,,10.2
Forest,Sp 14,10,,8.7,3.5,3.5,3.5,3.5,,8.7
Forest,Sp 14,12,,13.3,3,4,3,3.333333333,,13.3
Forest,Sp 14,13,,15.9,6.5,6.5,6,6.333333333,,15.9
Forest,Sp 14,15.5,,19.2,9,7,8.5,8.166666667,,19.2
Forest,Sp 14,14,,9.9,4,6,5.5,5.166666667,,9.9
Forest,Sp 14,13,,14.1,3,5,6,4.666666667,,14.1
Forest,Sp 14,13,,9,6,5,6,5.666666667,,9
Forest,Sp 14,11,,12.8,7,7.5,6.5,7,,12.8
Forest,Sp 14,14,,16.2,10,8.5,6,8.166666667,,16.2
Forest,Sp 14,11,,10.6,7,6,6,6.333333333,,10.6
Forest,Sp 14,16,,15.2,8,6,7,7,,15.2
Forest,Sp1 Bombax,16,,25.8,9.5,7.5,13,10,,25.8
Forest,Sp1 Bombax,15,,23,8.5,9.5,10,9.333333333,,23
Forest,Sterculia quadrifida,8.5,,12.6,4,3.5,3.5,3.666666667,,12.6
Forest,Strychnos lucida,4.5,,6,2,2,2.5,2.166666667,,6
Forest,Strychnos lucida,3.8,,3,2,1,1.5,1.5,,3
Forest,Strychnos lucida,6,,4.8,2,2.5,2,2.166666667,,4.8
Forest,Strychnos lucida,5,,10.2,2,2.5,2.5,2.333333333,,10.2
Forest,Strychnos lucida,5.5,,4.1,2,2.5,2.5,2.333333333,,4.1
Forest,Strychnos lucida,4.8,,3.8,1.5,1.5,1.5,1.5,,3.8
Forest,Strychnos lucida,7.5,,8,1,1.5,1.5,1.333333333,,8
Forest,Strychnos lucida,8,,10.7,2,2,2,2,,10.7
Forest,Strychnos lucida,8,,11,2,2,2,2,,11
Forest,Strychnos lucida,7,,6.2,1.5,1.5,1.5,1.5,,6.2
Forest,Strychnos lucida,4,,50,2,2,2.5,2.166666667,,50
Forest,Strychnos lucida,2.7,24.3,,2,1.5,1.5,1.666666667,,2.43
Forest,Strychnos lucida,7.5,,11.2,2,2,2,2,,11.2
Forest,Strychnos lucida,4.5,,5.2,2.5,2,2,2.166666667,,5.2
Forest,Strychnos lucida,8.5,,12.2,3.5,2.5,2.5,2.833333333,,12.2
Forest,Tarenna australis,8,,12.3,4.5,6,4.5,5,,12.3
Forest,Tarenna australis,7.5,,4.9,3.5,3,3.5,3.333333333,,4.9
Forest,Tarenna australis,7.5,,7,3,3,3,3,,7
Forest,Tarenna australis,7,,5.2,3,3,3,3,,5.2
Forest,Tarenna australis,5,,4,2.5,3,2.5,2.666666667,,4
Forest,Tarenna australis,9,,6.9,3,3,3,3,,6.9
Forest,Tarenna australis,9.5,,18.2,13,14,13,13.33333333,,18.2
Forest,Tarenna australis,9,,14,5,5,5.5,5.166666667,,14
Forest,Tarenna australis,8.5,,14.6,6,6,6.5,6.166666667,,14.6
Forest,Tarenna australis,2.7,26.1,,2,2.5,2.5,2.333333333,,2.61
Forest,Tarenna australis,9.5,,9.8,5,4,4.5,4.5,,9.8
Forest,Tarenna australis,3.5,,2.8,3,3,3,3,,2.8
Forest,Tarenna australis,6,,7,4,4,4,4,,7
Forest,Tarenna australis,5.5,,4.5,3.5,3,2.5,3,,4.5
Forest,Tarenna australis,9,,10.3,4,4.5,5,4.5,,10.3
Forest,Tarenna australis,6.5,,5.5,3,3.5,3,3.166666667,,5.5
Forest,Terminalia microcarpa,15,,22.1,9,8.5,8.5,8.666666667,,22.1
Forest,Terminalia microcarpa,14,,19.8,9.5,8,10.5,9.333333333,,19.8
Forest,Terminalia microcarpa,13,,19.4,11.5,8,8.5,9.333333333,,19.4
Forest,Terminalia microcarpa,14,,24,11,9,8.5,9.5,,24
Forest,Terminalia microcarpa,14,,11.8,5.5,5,4,4.833333333,,11.8
Forest,Terminalia microcarpa,12,,15.3,9.5,9,10.5,9.666666667,,15.3
Forest,Terminalia microcarpa,14,,40.5,18,11.5,17.5,15.66666667,,40.5
Forest,Terminalia microcarpa,15,,27,10,11.5,12,11.16666667,,27
