"var_name","character","unit"
"dispersal",NA,""
"lifeform",NA,""
"longevity",NA,""
"leaf type",NA,""
"seed shape",NA,""
"flowering time start",NA,""
"flowering time end",NA,""
"leaf length minimum",NA,"cm"
"leaf length minimum",NA,""
"leaf length minimum",NA,"mm"
"leaf length minimum",NA,"m"
"leaf length maximum",NA,"cm"
"leaf length maximum",NA,""
"leaf length maximum",NA,"mm"
"leaf length maximum",NA,"m"
"leaf width minimum",NA,"cm"
"leaf width minimum",NA,""
"leaf width minimum",NA,"mm"
"leaf width maximum",NA,"cm"
"leaf width maximum",NA,""
"leaf width maximum",NA,"mm"
"plant height minimum",NA,""
"plant height minimum",NA,"m"
"plant height minimum",NA,"NULL"
"plant height minimum",NA,"cm"
"plant height maximum",NA,""
"plant height maximum",NA,"m"
"plant height maximum",NA,"cm"
"plant height maximum",NA,"mm"
"seed length minimum",NA,"mm"
"seed length minimum",NA,""
"seed length minimum",NA,"cm"
"seed length maximum",NA,"mm"
"seed length maximum",NA,""
"seed length maximum",NA,"cm"
"seed width minimum",NA,"mm"
"seed width minimum",NA,""
"seed width minimum",NA,"cm"
"seed width maximum",NA,"mm"
"seed width maximum",NA,""
"seed width maximum",NA,"cm"
"seed breadth minimum",NA,"mm"
"seed breadth minimum",NA,""
"seed breadth minimum",NA,"NULL"
"seed breadth minimum",NA,"cm"
"seed breadth maximum",NA,"mm"
"seed breadth maximum",NA,""
"seed breadth maximum",NA,"NULL"
"seed breadth maximum",NA,"cm"
