name_original,site_TEXT,TRAIT: area leaf UNITS: cm2,TRAITS: SLA UNITS: cm2,TRAIT: leaf N content UNITS: %,TRAIT: leaf P content UNITS: %,TRAITS: leaf N content UNITS: area,TRAITS: leaf P content UNITS: area,
Banskia aemula,AgnesBanks_12,18.2,55.0,0.59,0.019,1.07,0.03,
Banskia aemula,AgnesBanks_12,15.0,57.4,0.42,0.022,0.72,0.04,
Eucalyptus sclerophylla,AgnesBanks_12,35.1,49.9,0.67,0.029,1.34,0.06,
Eucalyptus sclerophylla,AgnesBanks_12,46.0,51.4,0.70,0.031,1.36,0.06,
Eucalyptus sclerophylla,AgnesBanks_12,20.7,48.3,0.86,0.038,1.77,0.08,
Persoonia laurina,AgnesBanks_12,17.1,61.8,0.44,0.029,0.71,0.05,
Acacia falcata,Castlereagh1_12,23.5,85.3,2.10,0.066,2.46,0.08,
Acacia falcata,Castlereagh1_12,23.9,66.7,1.87,0.043,2.81,0.06,
Acacia falcata,Castlereagh1_12,20.0,79.2,1.82,0.051,2.30,0.06,
Eucalyptus fibrosa,Castlereagh1_12,63.1,45.3,1.0,0.034,2.19,0.08,
Eucalyptus fibrosa,Castlereagh1_12,58.2,44.2,0.97,0.043,2.19,0.10,
Eucalyptus fibrosa,Castlereagh1_12,45.7,54.7,1.0,0.041,1.87,0.08,
Macrozamia spiralis,Castlereagh1_12,5.4,41.0,1.37,0.062,3.34,0.15,
Macrozamia spiralis,Castlereagh1_12,8.8,39.0,1.78,0.071,4.56,0.18,
Banksia spinulosa,Castlereagh2_12,2.1,46.5,0.60,0.019,1.30,0.04,
Banksia spinulosa,Castlereagh2_12,1.3,46.0,0.48,0.012,1.04,0.03,
Banksia spinulosa,Castlereagh2_12,1.3,44.1,0.31,0.018,0.70,0.04,
Eucalyptus haemostoma,Castlereagh2_12,18.6,69.6,1.15,0.063,1.65,0.09,
Eucalyptus haemostoma,Castlereagh2_12,11.5,74.1,0.96,0.068,1.30,0.09,
Persoonia laurina,Castlereagh2_12,9.8,63.3,0.38,0.023,0.59,0.04,
Persoonia laurina,Castlereagh2_12,19.3,60.1,0.37,0.023,0.62,0.04,
Acacia myrtifolia,KCNP_east_12,4.2,69.0,1.66,0.015,2.41,0.02,
Acacia suaveolens,KCNP_east_12,2.3,67.9,1.94,0.032,2.86,0.05,
Banksia oblongifolia,KCNP_east_12,9.9,37.9,0.73,0.022,1.92,0.06,
Banksia oblongifolia,KCNP_east_12,14.2,35.9,0.63,0.022,1.75,0.06,
Eriostemon australasius,KCNP_east_12,1.1,81.1,1.19,0.010,1.47,0.01,
Eriostemon australasius,KCNP_east_12,1.5,66.0,1.40,0.011,2.12,0.02,
Eriostemon australasius,KCNP_east_12,1.4,63.3,,0.012,,0.02,
Grevillea speciosa,KCNP_east_12,1.3,75.8,0.33,0.019,0.44,0.02,
Grevillea speciosa,KCNP_east_12,0.9,76.2,0.57,0.007,0.75,0.01,
Hakea dactyloides,KCNP_east_12,16.0,27.0,0.50,0.015,1.85,0.06,
Acacia longifolia,MU_forest_12,19.5,84.9,2.38,0.041,2.80,0.05,
Pittosporum undulatum,MU_forest_12,14.8,85.5,1.47,0.079,1.72,0.09,
Pittosporum undulatum,MU_forest_12,29.4,84.3,1.69,0.095,2.00,0.11,
Polyscias sambucifolia,MU_forest_12,15.9,119.1,1.37,0.074,1.15,0.06,
Polyscias sambucifolia,MU_forest_12,18.4,90.3,1.06,0.060,1.17,0.07,
Agathis moorei,MUcampus_12,21.2,56.7,0.88,0.079,1.55,0.14,
Agathis robusta,MUcampus_12,24.3,76.4,,0.038,,0.05,
Agathis robusta,MUcampus_12,24.0,76.8,1.10,0.078,1.43,0.10,
Araucaria bidwilii,MUcampus_12,3.1,64.8,1.30,0.166,2.00,0.26,
Banksia integrifolia,MUcampus_12,8.8,45.7,0.86,0.043,1.88,0.09,
Banksia integrifolia,MUcampus_12,7.8,41.9,0.59,0.039,1.40,0.09,
Banksia robur,MUcampus_12,109.2,49.2,0.6,0.035,1.31,0.07,
Banksia robur,MUcampus_12,143.9,81.0,0.7,0.061,0.90,0.08,
Banksia robur,MUcampus_12,124.7,115.0,1.16,0.091,1.01,0.08,
Banksia serrata,MUcampus_12,19.6,58.7,0.62,0.043,1.06,0.07,
Macadamia ternifolia,MUcampus_12,36.6,52.2,0.89,0.040,1.70,0.08,
Macadamia ternifolia,MUcampus_12,34.4,71.9,1.07,0.090,1.49,0.12,
Podocarpus elatus,MUcampus_12,11.1,44.3,0.90,0.176,2.03,0.40,
Podocarpus elatus,MUcampus_12,11.9,54.3,0.99,0.193,1.82,0.36,
Acacia suaveolens,KCNP_west_12,3.0,54.1,2.29,0.026,4.23,0.05,
Angophora hispida,KCNP_west_12,19.8,48.2,0.66,0.032,1.37,0.07,
Angophora hispida,KCNP_west_12,14.8,78.6,0.60,0.040,0.76,0.05,
Angophora hispida,KCNP_west_12,26.7,56.0,0.54,0.038,0.96,0.07,
Angophora hispida,KCNP_west_12,20.1,49.6,0.59,0.037,1.19,0.07,
Banksia marginata,KCNP_west_12,2.7,42.9,0.40,0.008,0.93,0.02,
Banksia marginata,KCNP_west_12,1.6,50.6,0.47,0.015,0.93,0.03,
Banksia marginata,KCNP_west_12,2.1,42.2,0.50,0.009,1.19,0.02,
Banksia marginata,KCNP_west_12,2.5,46.5,0.39,0.012,0.85,0.03,
Banksia oblongifolia,KCNP_west_12,8.0,43.4,0.89,0.021,2.05,0.05,
Banksia serrata,KCNP_west_12,26.8,41.3,0.53,0.023,1.28,0.06,
Banksia serrata,KCNP_west_12,27.3,41.7,0.45,0.032,1.08,0.08,
Banksia serrata,KCNP_west_12,34.1,37.7,0.66,0.020,1.75,0.05,
Corymbia gummifera,KCNP_west_12,37.0,44.7,0.60,0.024,1.34,0.05,
Hakea dactyloides,KCNP_west_12,18.7,37.9,0.36,0.023,0.95,0.06,
Hakea dactyloides,KCNP_west_12,12.2,32.7,0.44,0.015,1.35,0.05,
Lambertia formosa,KCNP_west_12,1.5,46.7,0.49,0.012,1.05,0.02,
Lambertia formosa,KCNP_west_12,1.4,44.0,0.50,0.013,1.14,0.03,
Persoonia lanceolata,KCNP_west_12,3.2,61.5,0.97,0.010,1.58,0.02,
Persoonia lanceolata,KCNP_west_12,4.3,55.1,0.90,0.066,1.63,0.12,
Persoonia lanceolata,KCNP_west_12,3.6,52.4,0.32,0.022,0.61,0.04,
Persoonia levis,KCNP_west_12,25.1,60.3,0.58,0.025,0.96,0.04,
Persoonia levis,KCNP_west_12,19.8,56.1,0.64,0.024,1.14,0.04,
Persoonia levis,KCNP_west_12,14.8,54.0,0.57,0.025,1.06,0.05,
Astrotrichia floccosa,WestHead_12,66.1,165.5,2.1,0.070,1.26,0.04,
Astrotrichia floccosa,WestHead_12,46.3,148.7,1.3,0.046,0.85,0.03,
Astrotrichia floccosa,WestHead_12,61.5,143.0,1.6,0.055,1.12,0.04,
Breynia oblongifolia,WestHead_12,5.7,86.6,1.61,0.029,1.86,0.03,
Eucalyptus umbra,WestHead_12,29.1,50.9,0.72,0.028,1.41,0.05,
Eucalyptus umbra,WestHead_12,24.4,65.0,0.94,0.055,1.45,0.08,
Lambertia formosa,WestHead_12,1.8,47.8,0.31,0.018,0.65,0.04,
Macrozamia communis,WestHead_12,19.6,47.2,1.36,0.068,2.88,0.14,
Macrozamia communis,WestHead_12,24.3,40.9,1.50,0.061,3.67,0.15,
Notelaea longifolia,WestHead_12,44.1,55.8,0.63,0.027,1.13,0.05,
Notelaea longifolia,WestHead_12,22.8,58.4,0.75,0.031,1.28,0.05,
Syncarpia glomulifera,WestHead_12,13.8,81.0,1.07,0.044,1.32,0.05,
Syncarpia glomulifera,WestHead_12,25.1,70.2,0.77,0.030,1.10,0.04,
Syncarpia glomulifera,WestHead_12,13.3,58.5,0.68,0.032,1.16,0.05,
Synoum glandulosum,WestHead_12,9.0,137.1,1.45,0.075,1.06,0.05,
Synoum glandulosum,WestHead_12,10.1,90.8,1.37,0.062,1.51,0.07,
Synoum glandulosum,WestHead_12,8.6,105.9,1.40,0.066,1.32,0.06,
Xylomelum pyriforme,WestHead_12,33.2,69.4,0.87,0.028,1.25,0.04,
Xylomelum pyriforme,WestHead_12,39.6,62.5,0.58,0.036,0.93,0.06,
Xylomelum pyriforme,WestHead_12,38.9,68.1,1.30,0.037,1.91,0.05,
